tgaMobileRT.exe: 000031C0: 17:05:04 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-ext.css
tgaMobileRT.exe: 000055D0: 17:05:04 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-awesome-4.7.0\resources\font-awesome-all.css
tgaMobileRT.exe: 00005BE0: 17:05:04 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-awesome\resources\font-awesome-all.css
tgaMobileRT.exe: 00002D58: 17:05:04 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-pictos\resources\font-pictos-all.css
tgaMobileRT.exe: 00005760: 17:05:04 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.css
tgaMobileRT.exe: 000013D0: 17:05:04 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.draw.css
tgaMobileRT.exe: 00002CA0: 17:05:04 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\sweetalert2.min.css
tgaMobileRT.exe: 00001C60: 17:05:04 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\unisweetalert2.css
tgaMobileRT.exe: 00003D78: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\dist\toasty.css
tgaMobileRT.exe: 00004DE4: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\assets\style.css
tgaMobileRT.exe: 000043EC: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\assets\toasty-custom-styles.css
tgaMobileRT.exe: 0000409C: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-xtheme-common.css
tgaMobileRT.exe: 00004F68: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\leaflet-text-icon.css
tgaMobileRT.exe: 000056AC: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\ext-all.js
tgaMobileRT.exe: 00002E78: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\classic\theme-classic\theme-classic.js
tgaMobileRT.exe: 00002FF4: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-unicommon-min.js
tgaMobileRT.exe: 00003834: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-sync-min.js
tgaMobileRT.exe: 000032AC: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\classic\locale\locale-pt_BR.js
tgaMobileRT.exe: 0000275C: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\jQuery\jquery-1.11.2.min.js
tgaMobileRT.exe: 00003CA8: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\jQuery\MaskedInput\jquery.inputmask.min.js
tgaMobileRT.exe: 0000288C: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\jQuery\autoNumeric\autoNumeric-1.9.35.js
tgaMobileRT.exe: 00004990: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.js
tgaMobileRT.exe: 00000EA8: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-treenode-plugin.js
tgaMobileRT.exe: 0000197C: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.draw.js
tgaMobileRT.exe: 00005550: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\ux\classic\ux.js
tgaMobileRT.exe: 000031F4: 17:05:05 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\sweetalert2.min.js
